0,-0.15915,0
0,-0.14324,0.1
0,-0.12732,0.2
0,-0.11141,0.3
0,-0.095493,0.4
0,-0.079577,0.5
0,-0.063662,0.6
0,-0.047746,0.7
0,-0.031831,0.8
0,-0.015915,0.9
0,0,1
0.1,-0.15915,0
0.1,-0.14324,0.1
0.1,-0.12732,0.2
0.1,-0.11141,0.3
0.1,-0.095493,0.4
0.1,-0.079577,0.5
0.1,-0.063662,0.6
0.1,-0.047746,0.7
0.1,-0.031831,0.8
0.1,-0.015915,0.9
0.1,0,1
0.2,-0.15915,0
0.2,-0.14324,0.1
0.2,-0.12732,0.2
0.2,-0.11141,0.3
0.2,-0.095493,0.4
0.2,-0.079577,0.5
0.2,-0.063662,0.6
0.2,-0.047746,0.7
0.2,-0.031831,0.8
0.2,-0.015915,0.9
0.2,0,1
0.3,-0.15915,0
0.3,-0.14324,0.1
0.3,-0.12732,0.2
0.3,-0.11141,0.3
0.3,-0.095493,0.4
0.3,-0.079577,0.5
0.3,-0.063662,0.6
0.3,-0.047746,0.7
0.3,-0.031831,0.8
0.3,-0.015915,0.9
0.3,0,1
0.4,-0.15915,0
0.4,-0.14324,0.1
0.4,-0.12732,0.2
0.4,-0.11141,0.3
0.4,-0.095493,0.4
0.4,-0.079577,0.5
0.4,-0.063662,0.6
0.4,-0.047746,0.7
0.4,-0.031831,0.8
0.4,-0.015915,0.9
0.4,0,1
0.5,-0.15915,0
0.5,-0.14324,0.1
0.5,-0.12732,0.2
0.5,-0.11141,0.3
0.5,-0.095493,0.4
0.5,-0.079577,0.5
0.5,-0.063662,0.6
0.5,-0.047746,0.7
0.5,-0.031831,0.8
0.5,-0.015915,0.9
0.5,0,1
0.6,-0.15915,0
0.6,-0.14324,0.1
0.6,-0.12732,0.2
0.6,-0.11141,0.3
0.6,-0.095493,0.4
0.6,-0.079577,0.5
0.6,-0.063662,0.6
0.6,-0.047746,0.7
0.6,-0.031831,0.8
0.6,-0.015915,0.9
0.6,0,1
0.7,-0.15915,0
0.7,-0.14324,0.1
0.7,-0.12732,0.2
0.7,-0.11141,0.3
0.7,-0.095493,0.4
0.7,-0.079577,0.5
0.7,-0.063662,0.6
0.7,-0.047746,0.7
0.7,-0.031831,0.8
0.7,-0.015915,0.9
0.7,0,1
0.8,-0.15915,0
0.8,-0.14324,0.1
0.8,-0.12732,0.2
0.8,-0.11141,0.3
0.8,-0.095493,0.4
0.8,-0.079577,0.5
0.8,-0.063662,0.6
0.8,-0.047746,0.7
0.8,-0.031831,0.8
0.8,-0.015915,0.9
0.8,0,1
0.9,-0.15915,0
0.9,-0.14324,0.1
0.9,-0.12732,0.2
0.9,-0.11141,0.3
0.9,-0.095493,0.4
0.9,-0.079577,0.5
0.9,-0.063662,0.6
0.9,-0.047746,0.7
0.9,-0.031831,0.8
0.9,-0.015915,0.9
0.9,0,1
1,-0.15915,0
1,-0.14324,0.1
1,-0.12732,0.2
1,-0.11141,0.3
1,-0.095493,0.4
1,-0.079577,0.5
1,-0.063662,0.6
1,-0.047746,0.7
1,-0.031831,0.8
1,-0.015915,0.9
1,0,1
